date,orders
24/04/2023,290
25/04/2023,653
26/04/2023,727
27/04/2023,573
28/04/2023,620
29/04/2023,557
30/04/2023,407
01/05/2023,583
02/05/2023,700
03/05/2023,723
04/05/2023,703
05/05/2023,640
06/05/2023,453
07/05/2023,420
08/05/2023,573
09/05/2023,777
10/05/2023,643
11/05/2023,513
12/05/2023,533
13/05/2023,443
14/05/2023,377
15/05/2023,770
16/05/2023,737
17/05/2023,773
18/05/2023,727
19/05/2023,777
20/05/2023,517
21/05/2023,480
22/05/2023,793
23/05/2023,770
24/05/2023,607
25/05/2023,687
26/05/2023,683
27/05/2023,500
28/05/2023,403
29/05/2023,677
30/05/2023,927
31/05/2023,833
01/06/2023,727
02/06/2023,710
03/06/2023,503
04/06/2023,410
05/06/2023,860
06/06/2023,763
07/06/2023,763
08/06/2023,647
09/06/2023,580
10/06/2023,470
11/06/2023,550
12/06/2023,907
13/06/2023,740
14/06/2023,697
15/06/2023,900
16/06/2023,680
17/06/2023,577
18/06/2023,587
19/06/2023,987
20/06/2023,747
21/06/2023,773
22/06/2023,740
23/06/2023,657
24/06/2023,507
25/06/2023,557
26/06/2023,707
27/06/2023,723
28/06/2023,600
29/06/2023,617
30/06/2023,610
01/07/2023,527
02/07/2023,557
03/07/2023,867
04/07/2023,850
05/07/2023,773
06/07/2023,700
07/07/2023,597
08/07/2023,517
09/07/2023,573
10/07/2023,940
11/07/2023,847
12/07/2023,647
13/07/2023,720
14/07/2023,720
15/07/2023,623
16/07/2023,610
17/07/2023,827
18/07/2023,867
19/07/2023,743
20/07/2023,820
21/07/2023,743
22/07/2023,577
23/07/2023,587
24/07/2023,897
25/07/2023,853
26/07/2023,727
27/07/2023,687
28/07/2023,693
29/07/2023,547
30/07/2023,613
31/07/2023,1030
01/08/2023,880
02/08/2023,750
03/08/2023,833
04/08/2023,823
05/08/2023,677
06/08/2023,553
07/08/2023,953
08/08/2023,857
09/08/2023,763
10/08/2023,817
11/08/2023,783
12/08/2023,623
13/08/2023,627
14/08/2023,947
15/08/2023,827
16/08/2023,820
17/08/2023,730
18/08/2023,673
19/08/2023,553
20/08/2023,600
21/08/2023,947
22/08/2023,850
23/08/2023,787
24/08/2023,610
25/08/2023,640
26/08/2023,503
27/08/2023,480
28/08/2023,510
29/08/2023,777
30/08/2023,640
31/08/2023,497
01/09/2023,627
02/09/2023,527
03/09/2023,463
04/09/2023,777
05/09/2023,627
06/09/2023,530
07/09/2023,563
08/09/2023,600
09/09/2023,373
10/09/2023,410
11/09/2023,690
12/09/2023,563
13/09/2023,593
14/09/2023,483
15/09/2023,527
16/09/2023,450
17/09/2023,457
18/09/2023,460
19/09/2023,550
20/09/2023,547
21/09/2023,487
22/09/2023,560
23/09/2023,467
24/09/2023,383
25/09/2023,707
26/09/2023,637
27/09/2023,610
28/09/2023,623
29/09/2023,560
30/09/2023,437
01/10/2023,427
02/10/2023,703
03/10/2023,573
04/10/2023,607
05/10/2023,543
06/10/2023,523
07/10/2023,447
08/10/2023,457
09/10/2023,693
10/10/2023,600
11/10/2023,580
12/10/2023,600
13/10/2023,493
14/10/2023,480
15/10/2023,413
16/10/2023,617
17/10/2023,590
18/10/2023,463
19/10/2023,510
20/10/2023,497
21/10/2023,457
22/10/2023,430
23/10/2023,623
24/10/2023,610
25/10/2023,547
26/10/2023,543
27/10/2023,520
28/10/2023,403
29/10/2023,357
30/10/2023,657
31/10/2023,500
01/11/2023,450
02/11/2023,523
03/11/2023,417
04/11/2023,383
05/11/2023,390
06/11/2023,590
07/11/2023,540
08/11/2023,520
09/11/2023,423
10/11/2023,503
11/11/2023,430
12/11/2023,390
13/11/2023,567
14/11/2023,523
15/11/2023,537
16/11/2023,503
17/11/2023,407
18/11/2023,430
19/11/2023,363
20/11/2023,597
21/11/2023,507
22/11/2023,487
23/11/2023,457
24/11/2023,430
25/11/2023,390
26/11/2023,320
27/11/2023,597
28/11/2023,567
29/11/2023,517
30/11/2023,570
01/12/2023,490
02/12/2023,380
03/12/2023,450
04/12/2023,627
05/12/2023,543
06/12/2023,507
07/12/2023,600
08/12/2023,583
09/12/2023,457
10/12/2023,443
11/12/2023,600
12/12/2023,810
13/12/2023,623
14/12/2023,567
15/12/2023,520
16/12/2023,457
17/12/2023,497
18/12/2023,597
19/12/2023,603
20/12/2023,537
21/12/2023,650
22/12/2023,653
23/12/2023,490
24/12/2023,307
25/12/2023,177
26/12/2023,487
27/12/2023,513
28/12/2023,497
29/12/2023,520
30/12/2023,510
31/12/2023,247
01/01/2024,310
02/01/2024,630
03/01/2024,570
04/01/2024,540
05/01/2024,487
06/01/2024,410
07/01/2024,407
08/01/2024,587
09/01/2024,420
10/01/2024,477
11/01/2024,443
12/01/2024,470
13/01/2024,393
14/01/2024,337
15/01/2024,440
16/01/2024,517
17/01/2024,393
18/01/2024,457
19/01/2024,470
20/01/2024,360
21/01/2024,357
22/01/2024,557
23/01/2024,513
24/01/2024,497
25/01/2024,553
26/01/2024,470
27/01/2024,437
28/01/2024,397
29/01/2024,590
30/01/2024,523
31/01/2024,560
01/02/2024,567
02/02/2024,493
03/02/2024,370
04/02/2024,440
05/02/2024,763
06/02/2024,633
07/02/2024,630
08/02/2024,560
09/02/2024,550
10/02/2024,427
11/02/2024,450
12/02/2024,793
13/02/2024,617
14/02/2024,483
15/02/2024,527
16/02/2024,570
17/02/2024,490
18/02/2024,353
19/02/2024,680
20/02/2024,607
21/02/2024,573
22/02/2024,523
23/02/2024,500
24/02/2024,390
25/02/2024,453
26/02/2024,553
27/02/2024,653
28/02/2024,590
29/02/2024,643
01/03/2024,550
02/03/2024,397
03/03/2024,510
04/03/2024,717
05/03/2024,557
06/03/2024,637
07/03/2024,517
08/03/2024,563
09/03/2024,470
10/03/2024,440
11/03/2024,697
12/03/2024,580
13/03/2024,600
14/03/2024,593
15/03/2024,540
16/03/2024,473
17/03/2024,490
18/03/2024,717
19/03/2024,697
20/03/2024,650
21/03/2024,613
22/03/2024,520
23/03/2024,457
24/03/2024,550
25/03/2024,860
26/03/2024,870
27/03/2024,713
28/03/2024,737
29/03/2024,687
30/03/2024,503
31/03/2024,300
01/04/2024,587
02/04/2024,780
03/04/2024,703
04/04/2024,590
05/04/2024,577
06/04/2024,463
07/04/2024,423
08/04/2024,680
09/04/2024,503
10/04/2024,633
11/04/2024,587
12/04/2024,623
13/04/2024,437
14/04/2024,447
15/04/2024,770
16/04/2024,740
17/04/2024,717
18/04/2024,817
19/04/2024,663
20/04/2024,567
21/04/2024,513
22/04/2024,823
23/04/2024,747
24/04/2024,717
25/04/2024,737
26/04/2024,767
27/04/2024,617
28/04/2024,670
29/04/2024,800
30/04/2024,920
01/05/2024,890
02/05/2024,783
03/05/2024,750
04/05/2024,607
05/05/2024,393
06/05/2024,647
07/05/2024,843
08/05/2024,933
09/05/2024,757
10/05/2024,747
11/05/2024,523
12/05/2024,630
13/05/2024,1007
14/05/2024,960
15/05/2024,893
16/05/2024,897
17/05/2024,810
18/05/2024,727
19/05/2024,663
20/05/2024,1127
21/05/2024,1030
22/05/2024,863
23/05/2024,843
24/05/2024,820
25/05/2024,670
26/05/2024,637
27/05/2024,703
28/05/2024,1113
29/05/2024,993
30/05/2024,993
31/05/2024,983
01/06/2024,700
02/06/2024,690
03/06/2024,1027
04/06/2024,947
05/06/2024,917
06/06/2024,833
07/06/2024,740
08/06/2024,637
09/06/2024,597
10/06/2024,917
11/06/2024,997
12/06/2024,943
13/06/2024,897
14/06/2024,763
15/06/2024,623
16/06/2024,640
17/06/2024,1053
18/06/2024,887
19/06/2024,907
20/06/2024,923
21/06/2024,800
22/06/2024,690
23/06/2024,723
24/06/2024,1167
25/06/2024,953
26/06/2024,947
27/06/2024,910
28/06/2024,987
29/06/2024,723
30/06/2024,710
01/07/2024,1233
02/07/2024,1093
03/07/2024,1057
04/07/2024,953
05/07/2024,803
06/07/2024,673
07/07/2024,680
08/07/2024,983
09/07/2024,1030
10/07/2024,880
11/07/2024,910
12/07/2024,883
13/07/2024,620
14/07/2024,647
15/07/2024,1010
16/07/2024,953
17/07/2024,883
18/07/2024,897
19/07/2024,820
20/07/2024,670
21/07/2024,787
22/07/2024,1153
23/07/2024,1020
24/07/2024,980
25/07/2024,923
26/07/2024,1030
27/07/2024,700
28/07/2024,727
29/07/2024,1117
30/07/2024,927
31/07/2024,1043
01/08/2024,1050
02/08/2024,990
03/08/2024,690
04/08/2024,720
05/08/2024,1033
06/08/2024,1103
07/08/2024,880
08/08/2024,887
09/08/2024,903
10/08/2024,643
11/08/2024,640
12/08/2024,1053
13/08/2024,943
14/08/2024,843
15/08/2024,803
16/08/2024,887
17/08/2024,620
18/08/2024,593
19/08/2024,1050
20/08/2024,993
21/08/2024,867
22/08/2024,840
23/08/2024,757
24/08/2024,743
25/08/2024,473
26/08/2024,670
27/08/2024,927
28/08/2024,873
29/08/2024,823
30/08/2024,737
31/08/2024,597
01/09/2024,593
02/09/2024,853
03/09/2024,760
04/09/2024,787
05/09/2024,613
06/09/2024,633
07/09/2024,567
08/09/2024,527
09/09/2024,777
10/09/2024,637
11/09/2024,670
12/09/2024,637
13/09/2024,660
14/09/2024,477
15/09/2024,543
16/09/2024,867
17/09/2024,663
18/09/2024,687
19/09/2024,620
20/09/2024,600
21/09/2024,587
22/09/2024,517
23/09/2024,693
24/09/2024,753
25/09/2024,733
26/09/2024,597
27/09/2024,647
28/09/2024,470
29/09/2024,473
30/09/2024,763
01/10/2024,687
02/10/2024,603
03/10/2024,660
04/10/2024,580
05/10/2024,513
06/10/2024,490
07/10/2024,697
08/10/2024,647
09/10/2024,670
10/10/2024,600
11/10/2024,600
12/10/2024,403
13/10/2024,433
14/10/2024,850
15/10/2024,727
16/10/2024,660
17/10/2024,603
18/10/2024,517
19/10/2024,543
20/10/2024,430
21/10/2024,780
22/10/2024,653
23/10/2024,603
24/10/2024,613
25/10/2024,483
26/10/2024,507
27/10/2024,420
28/10/2024,707
29/10/2024,603
30/10/2024,530
31/10/2024,513
01/11/2024,420
02/11/2024,357
03/11/2024,487
04/11/2024,587
05/11/2024,610
06/11/2024,537
07/11/2024,490
08/11/2024,503
09/11/2024,387
10/11/2024,380
11/11/2024,583
12/11/2024,530
13/11/2024,420
14/11/2024,537
15/11/2024,427
16/11/2024,297
17/11/2024,343
18/11/2024,550
19/11/2024,507
20/11/2024,473
21/11/2024,427
22/11/2024,417
23/11/2024,253
24/11/2024,297
25/11/2024,533
26/11/2024,537
27/11/2024,433
28/11/2024,420
29/11/2024,403
30/11/2024,310
01/12/2024,320
02/12/2024,630
03/12/2024,603
04/12/2024,597
05/12/2024,580
06/12/2024,403
07/12/2024,440
08/12/2024,420
09/12/2024,673
10/12/2024,593
11/12/2024,453
12/12/2024,497
13/12/2024,437
14/12/2024,467
15/12/2024,443
16/12/2024,760
17/12/2024,653
18/12/2024,573
19/12/2024,700
20/12/2024,563
21/12/2024,520
22/12/2024,570
23/12/2024,403
24/12/2024,300
25/12/2024,143
26/12/2024,353
27/12/2024,510
28/12/2024,510
29/12/2024,440
30/12/2024,587
31/12/2024,303
01/01/2025,370
02/01/2025,510
03/01/2025,483
04/01/2025,410
05/01/2025,513
06/01/2025,550
07/01/2025,467
08/01/2025,410
09/01/2025,470
10/01/2025,473
11/01/2025,333
12/01/2025,427
13/01/2025,587
14/01/2025,510
15/01/2025,437
16/01/2025,357
17/01/2025,403
18/01/2025,337
19/01/2025,360
20/01/2025,490
21/01/2025,463
22/01/2025,487
23/01/2025,
24/01/2025,
25/01/2025,
26/01/2025,
27/01/2025,
28/01/2025,
29/01/2025,
30/01/2025,
31/01/2025,
01/02/2025,
02/02/2025,
03/02/2025,
04/02/2025,
05/02/2025,
06/02/2025,
07/02/2025,
08/02/2025,
09/02/2025,
10/02/2025,
11/02/2025,
12/02/2025,
13/02/2025,
14/02/2025,
15/02/2025,
16/02/2025,
17/02/2025,
18/02/2025,
19/02/2025,
20/02/2025,
21/02/2025,
22/02/2025,
23/02/2025,
24/02/2025,
25/02/2025,
26/02/2025,
27/02/2025,
28/02/2025,
01/03/2025,
02/03/2025,
03/03/2025,
04/03/2025,
05/03/2025,
06/03/2025,
07/03/2025,
08/03/2025,
09/03/2025,
10/03/2025,
11/03/2025,
12/03/2025,
13/03/2025,
14/03/2025,
15/03/2025,
16/03/2025,
17/03/2025,
18/03/2025,
19/03/2025,
20/03/2025,
21/03/2025,
22/03/2025,
23/03/2025,
24/03/2025,
25/03/2025,
26/03/2025,
27/03/2025,
28/03/2025,
29/03/2025,
30/03/2025,
31/03/2025,
01/04/2025,
02/04/2025,
03/04/2025,
04/04/2025,
05/04/2025,
06/04/2025,
07/04/2025,
08/04/2025,
09/04/2025,
10/04/2025,
11/04/2025,
12/04/2025,
13/04/2025,
14/04/2025,
15/04/2025,
16/04/2025,
17/04/2025,
18/04/2025,
19/04/2025,
20/04/2025,
21/04/2025,
22/04/2025,
